,Episode,1,1,1,1,2,3,3,4,4,5,6,7,8,9,9,10,11,12,12,12,13,14,14,14,14,14
0,Voted Out,Laura B.,Candice,Rupert,Marissa,Rachel,Colton,John,Tie,Brad,Laura M.,Kat,Laura B.,Aras,Vytas,Tina,Laura M.,Caleb,Tie,Deadlock,Katie,Hayden,Ciera,Tina,Gervase,Monica,Tyson
1,Vote,6-2,6-3,No ,8-1,5-2,No ,6-1,3-3,3-1,7-1,5-1,4-1,7-2,8-1,7-1,7-1,4-3,3-3,2-2,Lot,3-2,3-0,3-1,7-1,7-1,7-1
2,Tyson,DNV,Laura M.,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Laura M.,DNV,DNV,Aras,Vytas,Tina,Laura M.,Caleb,Hayden,Hayden,DNV,Hayden,Ciera,Tina,Jury Vote,Jury Vote,Jury Vote
3,Monica,DNV,Candice,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Laura M.,Kat,Laura B.,Aras,Vytas,Tina,Laura M.,Caleb,Hayden,None,DNV,Hayden,Ciera,Tina,Jury Vote,Jury Vote,Jury Vote
4,Gervase,DNV,Candice,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Laura M.,DNV,DNV,Aras,Vytas,Tina,Laura M.,Caleb,Hayden,Hayden,DNV,Hayden,Ciera,Tina,Jury Vote,Jury Vote,Jury Vote
5,Tina,DNV,Candice,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Laura M.,Kat,Laura B.,Ciera,Vytas,Tyson,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Gervase,Gervase,OOTG,OOTG,Tyson
6,Ciera,Laura B.,DNV,DNV,Marissa,John,DNV,John,Brad,None,DNV,DNV,DNV,Aras,Katie,Tina,Laura M.,Caleb,Monica,Monica,DNV,Gervase,Gervase,OOTG,OOTG,OOTG,Tyson
7,Hayden,Laura B.,DNV,DNV,Marissa,Rachel,DNV,John,Ciera,Ciera,DNV,DNV,DNV,Aras,Vytas,Tina,Laura M.,Ciera,Monica,None,DNV,Gervase,Eliminated,OOTG,OOTG,OOTG,Tyson
8,Katie,Marissa,DNV,DNV,Marissa,John,DNV,John,Brad,Brad,DNV,Kat,Laura B.,Ciera,Vytas,Monica,Laura M.,Ciera,Monica,Monica,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tyson
9,Caleb,Laura B.,DNV,DNV,Marissa,Rachel,DNV,John,Brad,Brad,DNV,DNV,DNV,Aras,Vytas,Tina,Laura M.,Ciera,Eliminated,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,Tyson
10,Laura M.,DNV,Candice,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Laura B.,OOTG,OOTG,Aras,Vytas,Tina,Katie,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,Tyson
11,Vytas,Laura B.,DNV,DNV,Marissa,Rachel,DNV,John,Ciera,Brad,DNV,Kat,Laura B.,Laura M.,Tyson,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Monica,OOTG
12,Aras,DNV,Gervase,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Laura M.,DNV,DNV,Laura M.,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tyson
13,Laura B.,Marissa,OOTG,Switched,DNV,DNV,DNV,DNV,DNV,DNV,Laura M.,Kat,Vytas,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Kat,DNV,Candice,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Laura M.,Vytas,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Brad,Laura B.,DNV,DNV,Marissa,Rachel,DNV,John,Ciera,None,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,John,Laura B.,DNV,DNV,Marissa,Rachel,DNV,Ciera,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Colton,DNV,Candice,DNV,DNV,DNV,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Rachel,Katie,DNV,DNV,Marissa,Ciera,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Marissa,Brad,DNV,DNV,Katie,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Candice,DNV,Laura M.,DNV,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Rupert,DNV,Laura M.,Switched,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
