,Episode,1,2,3,4,5,6,6,8,9,10,10,11,12,13,14,15,15,15,15,15,15
0,Voted Out,Sekou,Billy,Cecilia,J.P.,Stephannie,Cao Boi,Cristina,Jessica,Brad,Rebecca,Jenny,Nate,Candice,Jonathan,Parvati,Adam,Tie,Sundra,Becky,Ozzy,Yul
1,Vote,3-2,4-1,5-3,7-2,7-1,6-1,4-2,6-1,7-1,6-1,4-2,5-4,5-3,6-1,4-2,4-1,2-2,Tiebreaker,5-4,5-4,5-4
2,Yul,DNV,DNV,Cecilia,DNV,DNV,Cao Boi,DNV,Jessica,DNV,DNV,DNV,Nate,Candice,Jonathan,Parvati,Adam,Sundra,DNV,Jury Vote,Jury Vote,Jury Vote
3,Ozzy,DNV,Billy,Becky,DNV,DNV,Cao Boi,DNV,Jessica,DNV,DNV,DNV,Nate,Candice,Jonathan,Parvati,Adam,Becky,DNV,Jury Vote,Jury Vote,Jury Vote
4,Becky,DNV,DNV,Cecilia,DNV,DNV,Cao Boi,DNV,Jessica,DNV,DNV,DNV,Nate,Candice,Jonathan,Parvati,Adam,Sundra,DNV,Jury Vote,Jury Vote,Jury Vote
5,Sundra,Sekou,DNV,Becky,DNV,DNV,Cao Boi,DNV,Jessica,DNV,DNV,DNV,Nate,Candice,Jonathan,Parvati,Adam,Becky,Voted out,OOTG,OOTG,Yul
6,Adam,DNV,DNV,DNV,J.P.,Stephannie,DNV,Cristina,DNV,Brad,Rebecca,Jenny,Yul,Jonathan,Jonathan,Sundra,Yul,OOTG,OOTG,OOTG,OOTG,Yul
7,Parvati,DNV,DNV,DNV,J.P.,Stephannie,DNV,Cristina,DNV,Brad,Rebecca,Jenny,Yul,Jonathan,Jonathan,Sundra,OOTG,OOTG,OOTG,OOTG,Ozzy,OOTG
8,Jonathan,DNV,DNV,Cecilia,DNV,DNV,Cao Boi,DNV,Jessica,Brad,Rebecca,Jenny,Nate,Candice,Adam,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Yul
9,Candice,DNV,DNV,Exiled1,DNV,DNV,Cao Boi,DNV,Jessica,Brad,Rebecca,Jenny,Yul,Jonathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Yul
10,Nate,Sundra,DNV,DNV,Stephannie,Stephannie,DNV,Kidnapped2,DNV,Brad,Rebecca,Jonathan,Yul,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ozzy,OOTG
11,Jenny,DNV,DNV,DNV,J.P.,Stephannie,DNV,Cristina,DNV,Brad,Rebecca,Jonathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ozzy,OOTG
12,Rebecca,Sekou,DNV,DNV,J.P.,Stephannie,DNV,Cristina,DNV,Brad,Jonathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ozzy,OOTG
13,Brad,DNV,DNV,DNV,J.P.,Stephannie,DNV,Jenny,DNV,Jonathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Yul
14,Jessica,DNV,DNV,Cecilia,DNV,DNV,Jonathan,DNV,Jonathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Cristina,DNV,Billy,DNV,J.P.,Stephannie,DNV,Jenny,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Cao Boi,DNV,DNV,Cecilia,DNV,DNV,Candice,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Stephannie,Sekou,DNV,DNV,J.P.,Cristina,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,J.P.,DNV,Billy,DNV,Stephannie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Cecilia,DNV,Billy,Becky,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Billy,DNV,Ozzy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Sekou,Sundra,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
