,Episode,1,2,3,4,5,5,5,6,7,8,9,9,10,11,12,13,13,13,13,13,13
0,Voted Out,Reem,Keith,Chris,Rick,Aubry,Tie,Wendy,Joe,Eric,Julia,David,Kelley,Wardog,Ron,Aurora,Victoria,Lauren,Rick,Julie,Gavin,Chris
1,Vote,4-3,6-1,5-2,3-2,4-1,4-4,6-0,6-3,8-2,9-1,8-2,5-4,6-2,3-1,5-1,2-0,2-0,No ,9-4,9-4,9-4
2,Chris,Reem,Keith,Kelley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Victoria,Lauren,DNV,Jury Vote,Jury Vote,Jury Vote
3,Gavin,DNV,DNV,DNV,DNV,Aubry,Lauren,Wendy,Joe,Eric,Julia,David,Aurora,Wardog,Ron3,Aurora,Rick,Chris,DNV,Jury Vote,Jury Vote,Jury Vote
4,Gavin,DNV,DNV,DNV,DNV,Aubry,Lauren,Wendy,Joe,Eric,Julia,David,Aurora,Wardog,Ron3,Aurora,Rick,Chris,DNV,Jury Vote,Jury Vote,Jury Vote
5,Julie,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Joe,Lauren,Julia,David,Aurora,Wardog,Rick,Aurora,Rick,Chris,DNV,Jury Vote,Jury Vote,Jury Vote
6,Rick,Reem,Keith,Chris,Lauren,OOTG,OOTG,OOTG,Kelley,Lauren,Julia,Wardog,Kelley,Aurora,Aurora,Aurora,Victoria,Lauren,Eliminated,OOTG,Gavin,OOTG
7,Lauren,Wendy,Keith,Chris,Rick,DNV,Wendy,None,David,Eric,Julia,David,Aurora,Wardog,Ron,Aurora,Rick,Chris,OOTG,OOTG,Gavin,OOTG
8,Victoria,DNV,DNV,DNV,DNV,Aubry,Lauren,Wendy,Joe,Eric,Julia,David,Kelley,Wardog,Rick,Aurora,Chris,OOTG,OOTG,OOTG,OOTG,Chris
9,Aurora,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Rick,Eric,David,David,Kelley,Wardog,Rick,Julie,Eliminated,OOTG,OOTG,OOTG,Gavin,OOTG
10,Ron,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Joe,Kelley,Julia,David,Kelley,Wardog,Rick,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,Chris
11,Wardog,Wendy,Keith,Chris,Rick,DNV,Wendy,Wendy,David,Eric,Julia,David,Kelley,Aurora,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,Chris
12,Kelley,Wendy,Keith,Chris,Rick,DNV,Wendy,Wendy,David,Eric,Julia,David,Aurora,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,Gavin,OOTG
13,David,Reem,Keith,Chris,Lauren,DNV,Wendy,Wendy,Kelley,Eric,Julia,Wardog,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,Chris
14,Julia,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Joe,Eric,Kelley,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,Chris
15,Eric,DNV,DNV,DNV,DNV,Aubry,Lauren,Wendy,Joe,Kelley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,Chris
16,Joe,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Rick,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,Chris
17,Wendy,Lauren,Kelley,Kelley,DNV,Aubry,Lauren,None,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Aubry,DNV,DNV,DNV,DNV,Wendy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,Chris
19,Keith,Reem,Wendy,OOTG,OOTG,OOTG,OOTG,OOTG,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Reem,Kelley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,Chris
