,Episode,1,1,2,3,4,5,6,7,8,9,10,10,10,11,12,12,13,13,13,13,13,13
0,Voted Out,Gonzalez,Jacob,Morgan,Brendan,Stephanie,James,Bradley,Chris,Libby,Desiree,Jenna,Tie,Michael,Chelsea,Tie,Kellyn,Sebastian,Donathan,Angela,Laurel,Domenick,Wendell
1,Vote,8-1,5-2,4-3,5-4,7-1,4-1,4-1,10-,4-1,8-2,3-1,2-2,3-0,5-3,3-3,4-1,4-1,4-0,No ,6-5,6-5,6-5
2,Wendell,DNV,DNV,Angela,DNV,DNV,DNV,DNV,Chris,Michael,Desiree,DNV,Michael,Michael,Chelsea,Kellyn,Kellyn,Sebastian,Donathan,DNV,Jury Vote,Jury Vote,Jury Vote
3,Domenick,DNV,DNV,Angela,DNV,DNV,DNV,Bradley,Chris,Michael,Desiree,DNV,Michael,Michael,Chelsea,Kellyn,Kellyn,Sebastian,Donathan,DNV,Jury Vote,Jury Vote,Jury Vote
4,Laurel,Gonzalez,Jacob,Morgan,DNV,DNV,DNV,DNV,Chris,Libby,Desiree,DNV,Kellyn,None,Chelsea,Kellyn,Kellyn,Sebastian,Donathan,DNV,OOTG,OOTG,Wendell
5,Angela,DNV,DNV,Libby,DNV,DNV,James,DNV,Libby,Michael,None3,Jenna,DNV,DNV,Wendell,Donathan,Kellyn,Sebastian,Donathan,Eliminated,OOTG,OOTG,Wendell
6,Donathan,Gonzalez,Exiled1,Morgan,DNV,DNV,DNV,Bradley,Chris,Michael,Desiree,Sebastian,DNV,DNV,Chelsea,Domenick,None,Domenick,Laurel,OOTG,OOTG,OOTG,Wendell
7,Sebastian,DNV,DNV,DNV,Brendan,Stephanie,DNV,DNV,Chris,Michael,Desiree,Jenna,DNV,DNV,Chelsea,Donathan,Donathan,Donathan,OOTG,OOTG,OOTG,OOTG,Wendell
8,Kellyn,DNV,DNV,DNV,Brendan,Stephanie,James,DNV,Chris,Libby,Desiree,DNV,Laurel,Michael,Wendell,Donathan,None,OOTG,OOTG,OOTG,OOTG,OOTG,Wendell
9,Kellyn,DNV,DNV,DNV,Brendan,Stephanie,James,DNV,Chris,Libby,Desiree,DNV,Laurel,Michael,Wendell,Donathan,None,OOTG,OOTG,OOTG,OOTG,OOTG,Wendell
10,Chelsea,DNV,DNV,DNV,Brendan,Stephanie,DNV,Bradley,Chris,Libby,Michael,Jenna,DNV,DNV,Wendell,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Wendell
11,Michael,Gonzalez,James,DNV,Bradley,Stephanie,James,DNV,Chris,Wendell,Desiree,DNV,Wendell,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Domenick,OOTG
12,Jenna,Gonzalez,Jacob,DNV,Bradley,Stephanie,DNV,DNV,Chris,Michael,Desiree,Donathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Domenick,OOTG
13,Desiree,DNV,DNV,DNV,Brendan,Stephanie,James,DNV,Libby,Libby,Michael,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Domenick,OOTG
14,Libby,Gonzalez,James,Morgan,DNV,DNV,DNV,Bradley,Chris,Michael,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Domenick,OOTG
15,Chris,DNV,DNV,Exiled1,DNV,DNV,DNV,DNV,None3,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Domenick,OOTG
16,Bradley,DNV,DNV,DNV,Brendan,Stephanie,DNV,Libby,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,James,Gonzalez,Jacob,Morgan,DNV,DNV,Desiree,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Stephanie,Gonzalez,Jacob,DNV,Bradley,Desiree,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Brendan,Gonzalez,Jacob,DNV,Bradley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Morgan,DNV,DNV,Angela,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Jacob,Exiled1,Michael,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
22,Gonzalez,Donathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
