,Episode,1,2,3,4,5,6,7,8,9,10,10,10,10,11,12,12,13,13,13,13,13,13
0,Voted Out,Rachel,Mari,Paul,Lucy,CeCe,Figgy,Michaela,Michelle,Taylor,Chris,Tie,Deadlock,Jessica,Zeke,Will,Sunday,Jay,Bret,David,Ken,Hannah,Adam
1,Vote,5-3,7-3,6-3,2-1,4-1,3-2,4-2,9-4,7-4,7-4,5-5,4-4,Lot,5-0,6-2,4-2,5-0,3-2,3-1,10-,10-,10-
2,Adam,DNV,Figgy,DNV,DNV,DNV,Figgy,DNV,Michelle,Taylor,Chris,Zeke,Zeke,DNV,Zeke,Will,Sunday,Jay,David,David,Jury Vote,Jury Vote,Jury Vote
3,Hannah,DNV,Mari,DNV,DNV,DNV,DNV,Bret,Michelle,Jay,Chris,Zeke,None,DNV,Zeke,Will,Sunday,Jay,Bret,David,Jury Vote,Jury Vote,Jury Vote
4,Ken,Rachel,DNV,Paul,Jessica,DNV,Figgy,DNV,Michelle,Taylor,Chris,Zeke,Zeke,DNV,Zeke,Will,Sunday,Jay,Bret,David,Jury Vote,Jury Vote,Jury Vote
5,David,Rachel,DNV,Paul,Lucy,CeCe,DNV,DNV,Michelle,Taylor,Chris,Zeke,Zeke,DNV,Zeke,Will,Sunday,Jay,Bret,Adam,OOTG,OOTG,Adam
6,Bret,Rachel,DNV,CeCe,Jessica,DNV,DNV,Michaela,Michelle,Jay,Jessica,Hannah,Hannah,DNV,Hannah,Will,David,Jay,David,OOTG,OOTG,OOTG,Adam
7,Jay,DNV,Mari,DNV,DNV,DNV,DNV,Michaela,Adam,Taylor,Jessica,Hannah,Hannah,DNV,Hannah,David,David,Ken,OOTG,OOTG,OOTG,OOTG,Adam
8,Sunday,CeCe,DNV,Paul,Jessica,DNV,DNV,Michaela,Michelle,Taylor,Jessica,Hannah,Hannah,DNV,Hannah,Will,Jay,OOTG,OOTG,OOTG,OOTG,OOTG,Adam
9,Will,DNV,Mari,DNV,DNV,DNV,DNV,Michaela,Adam,Jay,Chris,Hannah,Hannah,DNV,Zeke,David,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Adam
10,Zeke,DNV,Figgy,DNV,DNV,CeCe,DNV,DNV,Michelle,Taylor,Chris,Hannah,None,DNV,Hannah,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Adam
11,Jessica,CeCe,DNV,Paul,CeCe,DNV,Figgy,DNV,Michelle,Jay,Chris,Zeke,Zeke,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Adam
12,Chris,Rachel,DNV,CeCe,Jessica,CeCe,DNV,DNV,Michelle,Taylor,Jessica,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Adam
13,Taylor,DNV,Mari,DNV,DNV,DNV,Ken,DNV,Adam,Adam,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Adam
14,Michelle,DNV,Mari,DNV,DNV,CeCe,DNV,DNV,Adam,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Adam
15,Michaela,DNV,Mari,DNV,DNV,DNV,DNV,Bret,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Figgy,DNV,Mari,DNV,DNV,DNV,Ken,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,CeCe,David,DNV,Paul,Lucy,Michelle,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Lucy,CeCe,DNV,Paul,Jessica,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Paul,Rachel,DNV,CeCe,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Mari,DNV,Figgy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Rachel,Sunday,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
