,Episode,1,2,3,4,5,6,6,6,7,8,9,10,12,12,13,14,15,15,15,15,15
0,Voted Out,Wendy,Shannon,Jimmy J.,Jimmy T.,Tyrone,Tie,Kelly B.,Yve,Jill,Alina,Marty,Brenda,NaOnka,Kelly S.,Benry,Jane,Dan,Holly,Sash,Chase,Fabio
1,Vote,9-1,7-3,8-1,5-3,6-2,3-3,5-1,6-1,3-2,10-,7-4,8-1,No ,No ,4-2,5-0,4-1,3-1,5-4,5-4,5-4
2,Fabio,DNV,Brenda,DNV,DNV,DNV,Kelly B.,Kelly B.,DNV,Marty,Alina,Jane,Brenda,DNV,DNV,Holly,Jane,Dan,Holly,Jury Vote,Jury Vote,Jury Vote
3,Chase,DNV,Shannon,DNV,DNV,Tyrone,DNV,DNV,Yve,DNV,Alina,Marty,Brenda,DNV,DNV,Benry,Jane,Dan,Holly,Jury Vote,Jury Vote,Jury Vote
4,Sash,DNV,Shannon,DNV,DNV,DNV,Marty,Kelly B.,DNV,Jill,Alina,Marty,Brenda,DNV,DNV,Benry,Jane,Dan,Holly,Jury Vote,Jury Vote,Jury Vote
5,Holly,Wendy,DNV,Jimmy J.,Dan,Tyrone,DNV,DNV,Yve,DNV,Alina,Marty,Brenda,DNV,DNV,Benry,Jane,Dan,Sash,OOTG,Chase,OOTG
6,Dan,Wendy,DNV,Jimmy J.,Jimmy T.,Tyrone,DNV,DNV,Yve,DNV,Alina,Jane,Brenda,DNV,DNV,Fabio,Jane,Chase,OOTG,OOTG,OOTG,Fabio
7,Jane,Wendy,DNV,Jimmy J.,Dan,DNV,Marty,Marty,DNV,Marty,Marty,Marty,Brenda,DNV,DNV,Benry,Sash,OOTG,OOTG,OOTG,Chase,OOTG
8,Benry,DNV,Shannon,DNV,DNV,Tyrone,DNV,DNV,Yve,DNV,Alina,Jane,Brenda,DNV,DNV,Fabio,OOTG,OOTG,OOTG,OOTG,OOTG,Fabio
9,Kelly S.,DNV,Shannon,DNV,DNV,DNV,Kelly B.,Kelly B.,DNV,Jill,Alina,Marty,Benry,Quit,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Fabio
10,NaOnka,DNV,Shannon,DNV,DNV,Tyrone,DNV,DNV,Yve,DNV,Alina,Marty,Brenda,Quit,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Fabio
11,Brenda,DNV,Shannon,DNV,DNV,DNV,Kelly B.,Kelly B.,DNV,Jill,Alina,Marty,NaOnka,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Chase,OOTG
12,Marty,Wendy,DNV,Jimmy J.,Jimmy T.,DNV,Brenda,None,DNV,Jane,Alina,Jane,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Fabio
13,Alina,DNV,Brenda,DNV,DNV,Tyrone,DNV,DNV,Yve,DNV,Marty,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Chase,OOTG
14,Jill,Wendy,DNV,Jimmy J.,Jimmy T.,DNV,Brenda,Kelly B.,DNV,Jane,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Yve,Wendy,DNV,Jimmy J.,Jimmy T.,NaOnka,DNV,DNV,Dan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Kelly B.,DNV,Shannon,DNV,DNV,DNV,Marty,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Tyrone,Wendy,DNV,Jimmy J.,Jimmy T.,NaOnka,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Jimmy T.,Wendy,DNV,Jimmy J.,Dan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Jimmy J.,Wendy,DNV,Dan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Shannon,DNV,Brenda,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Wendy,Yve,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
