,Episode,1,2,3,4,5,6,8,9,10,11,12,13,14,15,15,15,15
0,Voted Out,Tina,Melinda,Misty,Ruth Marie,Bobby,Dan,Nick,Austin,Sally,Bruce,Courtney,Shane,Tie,Cirie,Terry,Danielle,Aras
1,Vote,3-1,5-2,5-2,4-2,3-2,3-1,6-4,6-3,6-2,No ,3-2,3-1,2-2,Tiebreaker,1-0,5-2,5-2
2,Aras,DNV,Melinda,DNV,DNV,Bruce,DNV,Nick,Austin,Sally,DNV,Courtney,Shane,Danielle,DNV,None,Jury Vote,Jury Vote
3,Danielle,DNV,Melinda,DNV,DNV,Bobby,DNV,Nick,Austin,Sally,DNV,Courtney,Shane,Cirie,DNV,Terry,Jury Vote,Jury Vote
4,Terry,DNV,DNV,Misty,Ruth Marie,DNV,Dan,Shane,Aras,Aras,DNV,Aras,Aras,Cirie,DNV,None,OOTG,Aras
5,Cirie,Tina,Shane,DNV,DNV,Bobby,DNV,Nick,Austin,Sally,DNV,Courtney,Shane,Danielle,Voted out,OOTG,OOTG,Aras
6,Shane,DNV,Melinda,DNV,DNV,Aras,DNV,Nick,Austin,Sally,DNV,Danielle,Danielle,OOTG,OOTG,OOTG,Danielle,OOTG
7,Courtney,DNV,Melinda,DNV,DNV,Bobby,DNV,Nick,Austin,Sally,DNV,Aras,OOTG,OOTG,OOTG,OOTG,OOTG,Aras
8,Bruce,DNV,Exiled1,DNV,DNV,Courtney,DNV,Nick,Austin,Sally,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,Danielle,OOTG
9,Sally,DNV,DNV,Ruth Marie,Ruth Marie,DNV,Exiled2,Shane,Aras,Aras,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Aras
10,Austin,DNV,DNV,Misty,Ruth Marie,DNV,Dan,Shane,Aras,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Aras
11,Nick,DNV,DNV,Misty,Ruth Marie,DNV,Dan,Shane,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Dan,DNV,DNV,Misty,Sally,DNV,Austin,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Bobby,DNV,Melinda,DNV,DNV,Bruce,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Ruth Marie,Tina,DNV,Misty,Sally,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Misty,DNV,DNV,Ruth Marie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Melinda,Tina,Shane,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Tina,Cirie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
