,Episode,1,2,3,4,4,4,5,6,7,7,7,8,10,11,12,13,14,15,15,15,Unnamed: 22_level_1
0,Voted Out,Debb,Kel,Maralyn,Tie,Deadlock,Mitchell,Kimmi,Michael,Tie,Deadlock,Jeff,Alicia,Jerri,Nick,Amber,Rodger,Elisabeth,Keith,Colby,Tina,OOTG
1,Vote,7-1,7-1,5-1,3-3,2-2,Pas,6-1,No ,5-5,4-4,Pas,5-4,6-2,4-2,4-2,3-2,3-1,1-0,4-3,4-3,OOT
2,Tina,DNV,Kel,Maralyn,Mitchell,Mitchell,DNV,DNV,DNV,Jeff,Jeff,DNV,Alicia,Jerri,Nick,Amber,Rodger,Elisabeth,None,Jury Vote,Jury Vote,OOTG
3,Colby,DNV,Kel,Maralyn,Mitchell,Mitchell,DNV,DNV,DNV,Jeff,None,DNV,Alicia,Jerri,Nick,Rodger,Rodger,Elisabeth,Keith,Jury Vote,Jury Vote,OOTG
4,Keith,DNV,Kel,Mitchell,Mitchell,None,DNV,DNV,DNV,Jeff,Jeff,DNV,Alicia,Jerri,Nick,Amber,Rodger,Elisabeth,None,OOTG,Tina,OOTG
5,Elisabeth,Debb,DNV,DNV,DNV,DNV,DNV,Kimmi,DNV,Colby,Colby,DNV,Jerri,Jerri,Amber,Amber,Keith,Keith,OOTG,OOTG,Tina,OOTG
6,Rodger,Debb,DNV,DNV,DNV,DNV,DNV,Kimmi,DNV,Colby,Colby,DNV,Jerri,Jerri,Amber,Amber,Keith,OOTG,OOTG,Colby,OOTG,OOTG
7,Amber,DNV,Kel,Maralyn,Keith,Keith,DNV,DNV,DNV,Jeff,Jeff,DNV,Alicia,Elisabeth,Nick,Rodger,OOTG,OOTG,OOTG,Colby,OOTG,OOTG
8,Nick,Debb,DNV,DNV,DNV,DNV,DNV,Kimmi,DNV,Colby,Colby,DNV,Jerri,Jerri,Keith,OOTG,OOTG,OOTG,OOTG,Colby,OOTG,OOTG
9,Jerri,DNV,Kel,Maralyn,Keith,Keith,DNV,DNV,DNV,Jeff,Jeff,DNV,Alicia,Elisabeth,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tina,OOTG
10,Alicia,Debb,DNV,DNV,DNV,DNV,DNV,Kimmi,DNV,Colby,Colby,DNV,Jerri,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tina,OOTG
11,Jeff,Debb,DNV,DNV,DNV,DNV,DNV,Kimmi,DNV,Colby,None,Voted Out,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Michael,Debb,DNV,DNV,DNV,DNV,DNV,Kimmi,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Kimmi,Debb,DNV,DNV,DNV,DNV,DNV,Jeff,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Mitchell,DNV,Kel,Maralyn,Keith,None,Voted Out,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Maralyn,DNV,Kel,Jerri,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Kel,DNV,Jerri,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Debb,Jeff,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
