,Episode,1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,14,14,14
0,Voted Out,Brook,Dolly,John P.,Mia,Brady,Travis,Lisa,John K.,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,Scout,Twila,Chris
1,Vote,5-3,5-4,5-3,5-3,6-1,6-1,4-2,5-1,6-4,7-1,6-2,4-3,4-2,3-2,3-1,1-0,5-2,5-2
2,Chris,Brook,DNV,John P.,DNV,Brady,DNV,DNV,John K.,Ami,Lea,Eliza,Leann,Ami,Julie,Eliza,Scout,Jury Vote,Jury Vote
3,Twila,DNV,Dolly,DNV,Mia,DNV,DNV,DNV,John K.,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,None,Jury Vote,Jury Vote
4,Scout,DNV,Dolly,DNV,Mia,DNV,Travis,Rory,DNV,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,None,Twila,OOTG
5,Eliza,DNV,Dolly,DNV,Twila,DNV,Travis,Lisa,DNV,Rory,Lea,Chad,Leann,Ami,Twila,Twila,OOTG,OOTG,Chris
6,Julie,DNV,Leann,DNV,Twila,DNV,DNV,DNV,John K.,Rory,Lea,Chad,Eliza,Scout,Twila,OOTG,OOTG,OOTG,Chris
7,Ami,DNV,Dolly,DNV,Mia,DNV,Travis,Lisa,DNV,Rory,Lea,Chad,Eliza,Scout,OOTG,OOTG,OOTG,Twila,OOTG
8,Leann,DNV,Dolly,DNV,Mia,DNV,Travis,Lisa,DNV,Rory,Lea,Chad,Eliza,OOTG,OOTG,OOTG,OOTG,OOTG,Chris
9,Chad,Brook,DNV,John P.,DNV,Brady,DNV,DNV,John K.,Ami,Julie,Eliza,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Chris
10,Lea,Brook,DNV,John P.,DNV,Brady,DNV,DNV,John K.,Ami,Eliza,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Chris
11,Rory,Brook,DNV,John P.,DNV,Brady,Travis,Lisa,DNV,Ami,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,John K.,Chris,DNV,Rory,DNV,Brady,DNV,DNV,Chad,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Lisa,DNV,Leann,DNV,Mia,DNV,Travis,Rory,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Travis,Brook,DNV,John P.,DNV,Brady,Rory,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Brady,Rory,DNV,Rory,DNV,Rory,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Mia,DNV,Leann,DNV,Twila,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,John P.,Chris,DNV,Rory,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Dolly,DNV,Leann,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Brook,Chris,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
