,Episode,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,16,16,16,Unnamed: 20_level_1
0,Voted Out,Tina,Rudy,Jenna M.,Rob C.,Richard,Susan,Colby,Ethan,Jerri,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,Jenna L.,Rob M.,Amber,OOTG
1,Vote,4-2,3-2,No ,5-1,6-1,No ,3-2,4-1,4-1,7-2,6-2,6-1,5-1,4-1,3-1,1-0,4-3,4-3,OOT
2,Amber,DNV,DNV,DNV,Rob C.,DNV,DNV,DNV,DNV,Jerri,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,None,Jury Vote,Jury Vote,OOTG
3,Rob M.,DNV,DNV,DNV,Rob C.,DNV,DNV,DNV,DNV,DNV,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,Jenna L.,Jury Vote,Jury Vote,OOTG
4,Jenna L.,Tina,Rudy,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Lex,Kathy,Alicia,Shii Ann,Tom,Rupert,None,Rob M.,OOTG,OOTG
5,Rupert,Tina,Ethan,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Lex,Kathy,Alicia,Shii Ann,Tom,Rob M.,OOTG,Rob M.,OOTG,OOTG
6,Tom,DNV,DNV,DNV,Rob C.,DNV,DNV,DNV,DNV,DNV,Lex,Kathy,Alicia,Shii Ann,Jenna L.,OOTG,OOTG,OOTG,Amber,OOTG
7,Shii Ann,DNV,DNV,DNV,DNV,Richard,DNV,Colby,Ethan,Jerri,Lex,Amber,Alicia,Amber,OOTG,OOTG,OOTG,OOTG,Amber,OOTG
8,Alicia,DNV,DNV,DNV,Rob C.,DNV,DNV,DNV,DNV,DNV,Lex,Kathy,Rupert,OOTG,OOTG,OOTG,OOTG,OOTG,Amber,OOTG
9,Kathy,DNV,DNV,DNV,DNV,Richard,DNV,Kidnapped3,Ethan,Jerri,Amber,Amber,OOTG,OOTG,OOTG,OOTG,OOTG,Rob M.,OOTG,OOTG
10,Lex,DNV,DNV,DNV,DNV,Richard,DNV,Colby,Ethan,Jerri,Amber,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Amber,OOTG
11,Jerri,Tina,Rudy,DNV,DNV,Richard,DNV,Colby,Ethan,Amber,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Ethan,Jenna L.,Rudy,DNV,DNV,Richard,DNV,Jerri,Jerri,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Colby,DNV,DNV,DNV,DNV,Richard,DNV,Jerri,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Susan,DNV,DNV,DNV,Rob C.,DNV,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Richard,DNV,DNV,DNV,DNV,Colby,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Rob C.,DNV,DNV,DNV,Alicia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Jenna M.,DNV,DNV,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Rudy,Tina,Ethan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Tina,Jenna L.,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
