,Episode,1,2,3,4,5,6,7,8,9,10,11,12,13,13,13,13,13
0,Voted Out,Sonja,B.B.,Stacey,Ramona,Dirk,Joel,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Tie,Susan,Rudy,Kelly,Richard
1,Vote,4-3,6-2,5-2,4-2,4-1,4-2,4-1,6-3,4-3,5-2,4-2,4-1,2-2,2-0,1-0,4-3,4-3
2,Richard,Stacey,DNV,Stacey,DNV,Dirk,DNV,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Susan,None,None,Jury Vote,Jury Vote
3,Kelly,Rudy,DNV,Rudy,DNV,Dirk,DNV,Gretchen,Greg,Sean,Gervase,Sean,Sean,Richard,Susan,Rudy,Jury Vote,Jury Vote
4,Rudy,Sonja,DNV,Stacey,DNV,Dirk,DNV,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Susan,Susan,None,OOTG,Richard
5,Susan,Sonja,DNV,Stacey,DNV,Dirk,DNV,Gretchen,Greg,Jenna,Gervase,Colleen,Sean,Richard,None,OOTG,OOTG,Richard
6,Sean,Sonja,DNV,Stacey,DNV,Rudy,DNV,Colleen,Greg,Jenna,Gervase,Colleen,Susan,OOTG,OOTG,OOTG,OOTG,Richard
7,Colleen,DNV,B.B.,DNV,Ramona,DNV,Joel,Richard,Jenna,Richard,Sean,Sean,OOTG,OOTG,OOTG,OOTG,Kelly,OOTG
8,Gervase,DNV,B.B.,DNV,Colleen,DNV,Jenna,Susan,Jenna,Richard,Sean,OOTG,OOTG,OOTG,OOTG,OOTG,Kelly,OOTG
9,Jenna,DNV,B.B.,DNV,Ramona,DNV,Joel,Gervase,Greg,Richard,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Kelly,OOTG
10,Greg,DNV,Ramona,DNV,Jenna,DNV,Joel,Jenna,Jenna,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Richard
11,Gretchen,DNV,B.B.,DNV,Ramona,DNV,Joel,Rudy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Joel,DNV,B.B.,DNV,Ramona,DNV,Jenna,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Dirk,Sonja,DNV,Stacey,DNV,Susan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Ramona,DNV,B.B.,DNV,Colleen,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Stacey,Rudy,DNV,Rudy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,B.B.,DNV,Ramona,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Sonja,Rudy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
