,Episode,1,1,2,3,4,5,6,6,7,8,9,10,12,13,13,13,13,13,13
0,Voted Out,Michelle,Gillian,Paloma,Jacquie,GC,Kelly,Ace,Dan,Marcus,Charlie,Randy,Corinne,Crystal,Ken,Tie,Matty,Sugar,Susie,Bob
1,Vote,8-1,7-1,7-2,5-2,6-1,5-1,3-2,4-3,3-2,5-4,5-3,4-3,4-0,4-1,2-2,Tiebreaker,4-3,4-3,4-3
2,Bob,DNV,DNV,Paloma,DNV,DNV,DNV,DNV,Dan,Ken,Crystal,Susie,Matty,Crystal,Ken,Matty,DNV,Jury Vote,Jury Vote,Jury Vote
3,Susie,Michelle,Gillian,DNV,DNV,DNV,DNV,DNV,Dan,Marcus,Charlie,Randy,Corinne,Crystal,Ken,Bob,DNV,Jury Vote,Jury Vote,Jury Vote
4,Sugar,DNV,DNV,Paloma,Exiled1,GC,Kelly,Ace,DNV,DNV,Charlie,Randy,Corinne,Crystal,Ken,Matty,DNV,Jury Vote,Jury Vote,Jury Vote
5,Matty,Michelle,Gillian,DNV,Jacquie,GC,Kelly,Crystal,DNV,DNV,Charlie,Randy,Corinne,Crystal,Ken,Bob,Voted Out,OOTG,Susie,OOTG
6,Ken,Michelle,Gillian,DNV,Jacquie,GC,Kelly,Ace,DNV,Marcus,Charlie,Randy,Matty,Matty,Susie,OOTG,OOTG,OOTG,Susie,OOTG
7,Crystal,Michelle,Gillian,DNV,Jacquie,GC,Kelly,Ace,DNV,Marcus,Charlie,Randy,Corinne,Matty,OOTG,OOTG,OOTG,OOTG,Susie,OOTG
8,Corinne,DNV,DNV,Paloma,DNV,DNV,DNV,DNV,Dan,DNV,Crystal,Susie,Matty,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Bob
9,Randy,Michelle,Gillian,DNV,DNV,DNV,DNV,DNV,Susie,DNV,Crystal,Susie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Bob
10,Charlie,DNV,DNV,Paloma,DNV,DNV,DNV,DNV,Dan,DNV,Crystal,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Bob
11,Marcus,DNV,DNV,Paloma,DNV,DNV,DNV,DNV,Susie,Ken,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Bob
12,Dan,Michelle,Gillian,DNV,DNV,DNV,DNV,DNV,Susie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Ace,DNV,DNV,Paloma,Kelly,GC,Kelly,Crystal,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Kelly,DNV,DNV,Ace,Jacquie,GC,Crystal,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,GC,Michelle,Gillian,DNV,Jacquie,Kelly,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Jacquie,DNV,DNV,Paloma,Kelly,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Paloma,DNV,DNV,Ace,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Gillian,Michelle,Ken,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Michelle,Gillian,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
