,Episode,1,2,3,4,5,6,7,8,8,9,10,10,11,12,13,13,13,13,13,13
0,Voted Out,Katrina,Simone,Patrick,Alan,Roark,Ali,Jessica,Tie,Desi,Cole,JP,Joe,Lauren,Ashley,Tie,Mike,Devon,Ryan,Chrissy,Ben
1,Vote:,5-1,5-1,4-1,2-0,3-2,3-1,7-5,4-4,7-1,7-1,5-3,4-2,1-0,5-1,1-1,2-1,No ,5-2,5-2,5-2
2,Ben,Katrina,DNV,DNV,DNV,DNV,DNV,Jessica,Desi,Desi,Cole,Mike,Joe,Lauren,Ashley,Devon,Devon,DNV,Jury Vote,Jury Vote,Jury Vote
3,Chrissy,Katrina,DNV,DNV,DNV,Roark,Ali,Jessica,Joe,Desi,Mike,Joe,Ashley,Ben,Ashley,Ben,Mike,DNV,Jury Vote,Jury Vote,Jury Vote
4,Ryan,DNV,Simone,Patrick,DNV,Roark,Ali,Jessica,Desi,Desi,Cole,Mike,Ashley,Ben,Ashley,Ben,Mike,DNV,Jury Vote,Jury Vote,Jury Vote
5,Devon,DNV,Simone,Patrick,None1,DNV,DNV,Jessica,Desi,Desi,Cole,JP,Joe,Ben,Ashley,Mike,None,Eliminated,Ryan,OOTG,OOTG
6,Mike,DNV,DNV,DNV,DNV,DNV,DNV,Chrissy,Joe,Joe,Cole,JP,Ryan,Ben,Ashley,Ben,None,OOTG,OOTG,Chrissy,OOTG
7,Ashley,Katrina,DNV,DNV,Joe,DNV,DNV,Jessica,Joe,Desi,Cole,JP,Joe,Ben,Mike,OOTG,OOTG,OOTG,OOTG,Chrissy,OOTG
8,Lauren,DNV,Simone,Patrick,DNV,DNV,DNV,Jessica,None5,None5,Cole,JP,Joe,Ben,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ben
9,Joe,DNV,DNV,DNV,Alan,DNV,DNV,Chrissy,Ben,None,Cole,JP,Ryan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ben
10,JP,Katrina,DNV,DNV,DNV,Roark,Ali,Jessica,Desi,Desi,Mike,Mike,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ben
11,Cole,DNV,DNV,DNV,DNV,DNV,DNV,Chrissy,Joe,Desi,Ben,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ben
12,Desi,DNV,DNV,DNV,Alan,DNV,DNV,Chrissy,Lauren,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ben
13,Jessica,DNV,DNV,DNV,DNV,DNV,DNV,Chrissy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Ali,DNV,Simone,Patrick,DNV,Chrissy,JP,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Roark,DNV,DNV,DNV,DNV,Chrissy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Alan,Katrina,DNV,DNV,Joe,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Patrick,DNV,Simone,Lauren,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Simone,DNV,Patrick,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Katrina,Ashley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
