,Episode,1,1,1,2,3,4,5,5,5,6,6,7,8,9,10,11,12,13,14,14,14,14,14,14
0,Voted Out,Jonathan,Wanda,Jolanda,Ashlee,Jeff,Kim,Willard,Tie,Angie,Tie,James,Ibrehem,Bobby Jon,Coby,Janu,Stephenie,Gregg,Caryn,Tie,Deadlock,Jenn,Ian,Katie,Tom
1,Vote,No ,No ,6-3,6-1,4-2,5-1,8-1,2-2,3-0,2-2,2-0,2-1,No ,7-1,No ,6-1,4-2,4-1,2-2,1-1,Tiebreaker,1-0,6-1,6-1
2,Tom,DNV,DNV,DNV,DNV,DNV,DNV,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Coby,DNV,Stephenie,Gregg,Caryn,Ian,Ian,DNV,Ian,Jury Vote,Jury Vote
3,Katie,DNV,DNV,DNV,DNV,DNV,DNV,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Coby,DNV,Stephenie,Gregg,Caryn,Jenn,Jenn,DNV,None,Jury Vote,Jury Vote
4,Ian,DNV,DNV,DNV,DNV,DNV,DNV,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Coby,DNV,Stephenie,Gregg,Caryn,Jenn,None,DNV,None,OOTG,Tom
5,Jenn,DNV,DNV,DNV,DNV,DNV,DNV,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Coby,DNV,Stephenie,Caryn,Caryn,Ian,None,Voted Out,OOTG,OOTG,Tom
6,Caryn,DNV,DNV,DNV,DNV,DNV,DNV,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Coby,DNV,Stephenie,Gregg,Ian,OOTG,OOTG,OOTG,OOTG,OOTG,Tom
7,Gregg,DNV,DNV,DNV,DNV,DNV,DNV,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Coby,DNV,Stephenie,Caryn,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tom
8,Stephenie,DNV,DNV,Jolanda,Ashlee,Jeff,Kim,DNV,Bobby Jon,Angie,Ibrehem,James,Ibrehem,DNV,Coby,DNV,Caryn,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tom
9,Janu,DNV,DNV,DNV,DNV,DNV,DNV,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Stephenie,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tom
10,Coby,DNV,DNV,DNV,DNV,DNV,DNV,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Janu,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Katie,OOTG
11,Bobby Jon,DNV,DNV,Angie,Ashlee,Kim,Kim,DNV,Angie,None,James,James,Ibrehem,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Ibrehem,DNV,DNV,Angie,Kim,Jeff,Kim,DNV,James,Angie,James,None,Stephenie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,James,DNV,DNV,Jolanda,Ashlee,Kim,Kim,DNV,Angie,Angie,Ibrehem,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Angie,DNV,DNV,Jolanda,Ashlee,Jeff,Kim,DNV,Bobby Jon,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Willard,DNV,DNV,DNV,DNV,DNV,DNV,Katie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Kim,DNV,DNV,Jolanda,Ashlee,Jeff,James,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Jeff,DNV,DNV,Jolanda,Ashlee,James,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Ashlee,DNV,DNV,Jolanda,Jeff,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Jolanda,DNV,DNV,Angie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Wanda,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Jonathan,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
