,Episode,1,2,3,3,4,5,6,7,8,9,9,10,11,11,12,13,14,14,14,14,14
0,Voted Out,Francesca,Matt,Tie,Russell,Kristina,Krista,Stephanie,Sarita,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Natalie,Phillip,Rob
1,Vote,4-3,4-2,3-3,5-1,4-3,6-2,5-2,4-2,6-5,6-5,6-4,6-3,6-2,6-1,5-1,4-1,4-0,3-1,8-1,8-1,8-1
2,Rob,Francesca,Matt,DNV,DNV,Phillip,DNV,DNV,DNV,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Jury Vote,Jury Vote,Jury Vote
3,Phillip,Francesca,Kristina,DNV,DNV,Kristina,DNV,DNV,DNV,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Jury Vote,Jury Vote,Jury Vote
4,Natalie,Kristina,Matt,DNV,DNV,Kristina,DNV,DNV,DNV,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Jury Vote,Jury Vote,Jury Vote
5,Ashley,Kristina,Matt,DNV,DNV,Kristina,DNV,DNV,DNV,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Phillip,OOTG,OOTG,Rob
6,Andrea,Kristina,Kristina,DNV,DNV,Kristina,DNV,DNV,DNV,Matt,Mike,David,Julie,Ralph,Steve,Phillip,OOTG,Rob,OOTG,OOTG,OOTG,Rob
7,Grant,Francesca,Matt,DNV,DNV,Phillip,DNV,DNV,DNV,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Natalie,Eliminated,OOTG,OOTG,OOTG,Rob
8,Steve,DNV,DNV,Russell,Russell,DNV,Krista,Stephanie,Sarita,Grant,Phillip,Rob,Phillip,Rob,Grant,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,Rob
9,Ralph,DNV,DNV,Russell,None,DNV,Krista,Stephanie,David,Grant,Phillip,Rob,Phillip,Rob,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,Phillip,OOTG
10,Julie,DNV,DNV,Stephanie,Russell,DNV,Krista,Stephanie,Sarita,Grant,Phillip,Rob,Phillip,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Rob
11,David,DNV,DNV,Stephanie,Russell,DNV,Krista,Sarita,Sarita,Grant,Phillip,Rob,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Rob
12,Mike,DNV,DNV,Russell,Russell,DNV,Krista,Stephanie,Sarita,Grant,Phillip,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,Rob
13,Matt,Francesca,Phillip,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Steve,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,Rob
14,Sarita,DNV,DNV,Stephanie,Russell,DNV,Krista,Stephanie,David,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Stephanie,DNV,DNV,Ralph,None,DNV,Steve,Sarita,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Krista,DNV,DNV,Ralph,Ralph,DNV,Steve,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Kristina,Phillip,Phillip,DNV,DNV,Phillip,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Russell,DNV,DNV,Ralph,None,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Francesca,Phillip,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
