,Episode,1,2,2,3,4,5,6,7,8,9,10,11,12,13,13,14,14,14,14,14
0,Voted Out,Nadiya,Tie,Val,John,Drew,Kelley,Dale,Julie,Josh,Jeremy,Wes,Reed,Alec,Tie,Jon,Baylor,Keith,Missy,Jaclyn,Natalie
1,Vote,5-3,4-4,5-1,5-2,5-2,3-2,3-2,No ,6-5,5-3,2-0,7-1,4-3,2-2,2-1,2-0,3-1,5-2,5-2,5-2
2,Natalie,DNV,DNV,DNV,DNV,Drew,DNV,DNV,DNV,Josh,Keith,Keith,Reed,Alec,Jon,Jon,Baylor,Keith,Jury Vote,Jury Vote,Jury Vote
3,Jaclyn,Dale,Baylor,Baylor,John,DNV,Kelley,Dale,DNV,Josh,Jeremy,Wes,Reed,Keith,Keith,None,Baylor,Keith,Jury Vote,Jury Vote,Jury Vote
4,Missy,DNV,DNV,DNV,DNV,Drew,Kelley,Keith,DNV,Josh,Jeremy,Keith,Reed,Alec,Jaclyn,Jaclyn,Jaclyn,Keith,Jury Vote,Jury Vote,Jury Vote
5,Keith,DNV,DNV,DNV,DNV,Julie,Dale,Dale,DNV,Baylor,Reed,Jon,Reed,Alec,Jon,None,Jaclyn,Missy,OOTG,OOTG,Natalie
6,Baylor,Nadiya,Val,None,John,DNV,Kelley,Keith,DNV,Josh,Jeremy,Keith,Reed,Alec,Jaclyn,Jon,Jaclyn,OOTG,Missy,OOTG,OOTG
7,Jon,DNV,DNV,DNV,DNV,Keith,Dale,Dale,DNV,Josh,Jeremy,Wes,Reed,Keith,Keith,None,OOTG,OOTG,OOTG,Jaclyn,OOTG
8,Alec,Nadiya,Baylor,Val,John,DNV,DNV,DNV,DNV,Baylor,Reed,Jon,Reed,Keith,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
9,Reed,DNV,DNV,DNV,DNV,Julie,DNV,DNV,DNV,Baylor,Jeremy,Jon,Missy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jaclyn,OOTG
10,Wes,Nadiya,Val,Val,John,DNV,DNV,DNV,DNV,Baylor,Reed,Jon,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
11,Jeremy,DNV,DNV,DNV,DNV,Drew,DNV,DNV,DNV,Josh,Keith,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
12,Josh,Baylor,Val,Val,John,DNV,DNV,DNV,DNV,Baylor,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
13,Julie,DNV,DNV,DNV,DNV,Drew,DNV,DNV,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Dale,Nadiya,Val,Val,Baylor,DNV,Baylor,Missy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Kelley,DNV,DNV,DNV,DNV,Drew,Baylor,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Drew,DNV,DNV,DNV,DNV,Kelley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,John,Nadiya,Baylor,Val,Baylor,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Val,Dale,Baylor,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Nadiya,Dale,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
