,Episode,1,1,2,3,4,5,6,6,7,8,9,10,11,12,13,13,14,14,14,14,14,14,14
0,Voted Out,Natalie,Amber,Danni,Ethan,Tyson,Rob,Sandra,Parvati,Yul,Wendell,Adam,Tyson,Sophie,Kim,Jeremy,Nick,Null,Denise,Ben,Sarah,Michele,Natalie,Tony
1,Vote,7-2,6-3,8-1,4-3,7-1,4-1,1-0,3-2,3-1,9-3,8-2,5-2,4-3,5-3,3-2,4-2,0-0,4-0,3-2,No ,12-,12-,12-
2,Tony,DNV,Kim,DNV,DNV,Tyson,DNV,Denise,DNV,DNV,Wendell,Adam,Tyson,Sophie,Kim,Jeremy,Nick,Natalie,Denise,Michele,DNV,Jury Vote,Jury Vote,Jury Vote
3,Natalie,Denise,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ben,Denise,Ben,DNV,Jury Vote,Jury Vote,Jury Vote
4,Michele,Denise,DNV,Danni,Ethan,DNV,DNV,DNV,Wendell,Yul,Adam,Adam,Tyson,Sophie,Jeremy,Ben,Denise,Ben,Denise,Ben,DNV,Jury Vote,Jury Vote,Jury Vote
5,Sarah,DNV,Kim,DNV,DNV,Tyson,Rob,DNV,DNV,DNV,Wendell,Nick,Tyson4,Michele,Kim,Michele,Nick,Natalie,None,Ben,Eliminated,OOTG,OOTG,Tony
6,Sarah,DNV,Kim,DNV,DNV,Tyson,Rob,DNV,DNV,DNV,Wendell,Nick,Denise4,Michele,Kim,Michele,Nick,Natalie,None,Ben,Eliminated,OOTG,OOTG,Tony
7,Ben,Natalie,DNV,Danni,Ethan,DNV,Rob,DNV,DNV,DNV,Wendell,Adam,Tyson,Jeremy,Kim,Jeremy,Nick,Natalie,Denise,Michele,OOTG,OOTG,OOTG,Tony
8,Denise,Natalie,DNV,Danni,Ethan,DNV,DNV,Sandra,DNV,DNV,Wendell,Nick,None5,Jeremy,Jeremy,Michele,Nick,Natalie,None,OOTG,OOTG,OOTG,OOTG,Tony
9,Nick,DNV,Amber,DNV,DNV,Kim,DNV,DNV,Parvati,Yul,Adam,Adam,Tyson,Sophie,Kim,Jeremy,Denise,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
10,Jeremy,Adam,DNV,Danni,Ethan,DNV,DNV,Denise,DNV,DNV,Wendell,Adam,None3,Sophie,Kim,Ben,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,Natalie,OOTG
11,Kim,DNV,Amber,DNV,DNV,Tyson,DNV,Denise,DNV,DNV,Wendell,Adam,Sophie,Michele,Jeremy,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
12,Sophie,DNV,Kim,DNV,DNV,Tyson,Rob,DNV,DNV,DNV,Wendell,Adam,Denise,Jeremy,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
13,Tyson,DNV,Amber,DNV,DNV,Nick,OOTG,OOTG,OOTG,OOTG,Wendell,Adam,Sophie,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,Natalie,OOTG
14,Adam,Natalie,DNV,Danni,Parvati,DNV,Rob,DNV,DNV,DNV,Wendell,Sarah,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
15,Wendell,DNV,Amber,DNV,DNV,Tyson,DNV,DNV,Parvati,Yul,Adam,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
16,Yul,DNV,Amber,DNV,DNV,Tyson,DNV,DNV,Parvati,Wendell,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
17,Parvati,Natalie,DNV,Danni,Adam,DNV,DNV,DNV,Wendell,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,Natalie,OOTG
18,Sandra,DNV,Amber,DNV,DNV,Tyson,DNV,Denise,OOTG,Left,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Rob,Natalie,DNV,Danni,Adam,DNV,Sarah,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
20,Ethan,Natalie,DNV,Danni,Adam,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,Natalie,OOTG
21,Danni,Natalie,DNV,Parvati,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
22,Amber,DNV,Nick,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,Tony
